"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"285" 1.31584590965406e-157 1.04101908193456 0.996 0.845 1.63441220438131e-153 11 "RPL36AL"
"286" 1.84443675820111e-156 0.940485445213329 0.996 0.842 2.29097489736159e-152 11 "PFDN5"
"287" 5.92062611916476e-156 0.777607077703477 0.416 0.028 7.35400970261455e-152 11 "PHGDH"
"288" 2.07300061405662e-155 1.10661293062456 0.807 0.267 2.57487406271973e-151 11 "CCT3"
"289" 1.57667750234592e-154 0.7972062075168 0.582 0.085 1.95839112566387e-150 11 "OSGEP"
"290" 2.48867203350089e-154 0.866460747494868 0.727 0.164 3.09117953281145e-150 11 "ATP5G2"
"291" 1.56191117201556e-153 1.09549429982619 0.8 0.234 1.94004986676053e-149 11 "EIF3A"
"292" 1.67768493829689e-153 0.890705190016258 0.667 0.128 2.08385246185857e-149 11 "REXO2"
"293" 1.41760547647363e-152 0.955703535003409 0.693 0.147 1.7608077623279e-148 11 "MAT2A"
"294" 3.92637350422226e-151 1.04559125463501 0.768 0.253 4.87694852959447e-147 11 "MRPL16"
"295" 6.97236357060145e-151 0.937926606618286 0.758 0.209 8.66037279104406e-147 11 "NDUFS4"
"296" 7.82451925989273e-151 -2.20112551847937 0.064 0.624 9.71883537271276e-147 11 "SLC11A1"
"297" 2.82450711919807e-150 0.7391916396062 0.515 0.062 3.50832029275592e-146 11 "GSTK1"
"298" 2.92163103897917e-149 1.23173566743322 0.994 0.869 3.62895791351603e-145 11 "HLA-A"
"299" 5.62772205045816e-149 -3.17541461653733 0.12 0.68 6.99019355887408e-145 11 "SLPI"
